ID,Group,Time,complexity.b,complexity.f,AVD.b,AVD.f,MDS1.b,MDS1.f,Richness.b,Richness.f
EA1_1_20,SGE,2020,0.322252394,0.1504884,0.592589274,0.232930637,-0.227634771,-0.201174213,2094,222
EA1_1_21,SGE,2021,0.359427997,0.174670869,0.608597111,0.238378245,-0.11777204,0.070058843,2268,520
EA1_1_22,SGE,2022,0.354824018,0.158788326,0.626633288,0.371765533,0.0573175,-0.007383184,2340,439
EA1_1_23,SGE,2023,0.371649094,0.172799103,0.613363543,0.390597006,-0.073263338,-0.050514884,2627,763
EA1_2_20,SGE,2020,0.361783798,0.180899442,0.522949727,0.354773387,-0.109620506,-0.073736325,1578,674
EA1_2_21,SGE,2021,0.380179586,0.21746095,0.652765722,0.386465698,-0.181635719,-0.117681567,2399,772
EA1_2_22,SGE,2022,0.369857986,0.164598814,0.615085181,0.355191858,-0.106729195,-0.107556018,2417,718
EA1_2_23,SGE,2023,0.358227333,0.189011742,0.582293848,0.386246538,-0.049157781,-0.061194846,2411,811
EA1_3_20,SGE,2020,0.368428486,0.191836578,0.563255421,0.345492296,-0.131205266,-0.139645216,2560,703
EA1_3_21,SGE,2021,0.365151432,0.182381798,0.620381027,0.332848773,-0.155778096,-0.089252505,2429,823
EA1_3_22,SGE,2022,0.371464152,0.192124802,0.589901777,0.257498401,-0.055178823,-0.191038534,2376,590
EA1_3_23,SGE,2023,0.366729167,0.194275384,0.623624733,0.328791716,-0.074082185,-0.071465683,2549,833
EA1_4_20,SGE,2020,0.368548223,0.16784061,0.553063025,0.307614994,-0.089821951,-0.113362232,2464,767
EA1_4_21,SGE,2021,0.367401192,0.186913262,0.609559933,0.392996369,-0.142384203,-0.095374763,2489,889
EA1_4_22,SGE,2022,0.373408584,0.181362561,0.572738588,0.368557889,-0.050054183,-0.096765876,2311,836
EA1_4_23,SGE,2023,0.36410113,0.194309456,0.623387525,0.358326596,-0.08528324,-0.024118612,2533,788
EA1_5_20,SGE,2020,0.344551489,0.11525206,0.669424563,0.263430953,-0.323325336,0.002106324,2338,437
EA1_5_21,SGE,2021,0.332586928,0.20496829,0.661992715,0.2790913,-0.138129424,-0.084812463,2453,652
EA1_5_22,SGE,2022,0.286337018,0.279727142,0.724327309,0.40032026,-0.127864729,-0.139379007,2475,797
EA1_5_23,SGE,2023,0.35471856,0.205331834,0.683081495,0.252697541,-0.179638381,-0.19311141,2373,472
EC1_1_20,SGE,2020,0.371565771,0.270777615,0.500985031,0.248722845,-0.037862372,-0.099609584,2530,380
