ID,Time,Group,Amino,BNC,FNC,MAOC,POC,MAOC/SOC
2019W1,2019,TGG,4.605582537,0.70542631,2.047215083,20.83349321,3.386020302,58.73301513
2019W7,2019,TGG,4.001517929,0.828718109,1.730847128,18.12494118,4.572252681,53.59376938
2019W13,2019,TGG,6.977908641,1.018559286,2.591349913,17.92042534,5.683789681,46.3465349
2019W16,2019,LGE,6.73209559,0.337781521,3.799046149,21.1201086,1.599336098,68.22851201
2019W22,2019,LGE,7.838224561,0.513130302,3.589374256,24.23402715,2.11739592,68.21375293
2019W28,2019,LGE,11.57635613,0.282960746,5.203468649,23.84038914,1.186896509,68.05535328
2019W31,2019,TGG,7.134472567,0.386467345,4.656606267,19.54995475,1.976819637,73.48601451
2019W37,2019,TGG,4.231614412,0.37805514,2.568010456,17.25116742,2.191475691,50.11232366
2019W43,2019,TGG,4.954800632,0.382626005,3.385955592,13.27080543,2.883216149,52.83704337
2019W46,2019,LGE,6.266311378,0.822245025,4.225137503,15.71033484,5.233784217,56.23572066
2019W52,2019,LGE,4.344697872,1.225644942,2.553619096,18.10881448,6.768222974,58.64662097
2019W58,2019,LGE,4.807003731,1.018559286,2.591349913,16.36126697,6.225430391,48.37874838
2019W61,2019,TGG,6.645392303,0.413880528,4.320729881,19.77572851,2.092871205,39.49796098
2019W67,2019,TGG,8.533015606,0.293725738,4.6047305,20.53661538,1.430253877,58.0764297
2019W73,2019,TGG,7.505056483,0.163668599,3.758284741,22.00561086,0.743758489,54.50489691
2019W76,2019,LGE,7.782607879,0.33202863,4.652666625,19.24574661,1.725205244,61.95291249
2019W82,2019,LGE,6.134843138,0.613419815,3.507262037,19.24574661,3.187300692,61.95291249
2019W88,2019,LGE,6.427462667,0.181320516,3.174065427,25.70888688,0.705283416,59.76381434
2019W91,2019,EDG,6.500497856,0.845491807,3.864906157,19.15338462,4.414320622,46.18028641
2019W97,2019,EDG,7.862661111,0.261697759,3.430999106,20.87307692,1.253757462,37.04391749
2019W103,2019,EDG,6.794940931,0.204748054,3.50551825,22.56576923,0.907339131,44.19533974
2019W106,2019,NDG,7.863494733,2.317311627,1.765302805,26.811,8.64313762,35.87064892
2019W112,2019,NDG,5.13210243,1.530281298,0.949680202,28.81107692,5.311433869,39.99059045
2019W118,2019,NDG,5.468624131,1.681477016,1.893595478,28.41230769,5.918128984,45.60893935
2020W1,2020,TGG,7.064279215,0.418975031,5.631781446,17.55653979,2.386432837,41.36400855
2020W7,2020,TGG,6.267971275,0.429379229,4.679743478,17.89212457,2.39982249,51.6099128
2020W13,2020,TGG,8.415299708,0.607832932,4.780294096,21.55216609,2.82028697,48.55403733
2020W16,2020,LGE,7.331475834,0.520082074,4.800598872,20.19861592,2.574840159,51.5218241
2020W22,2020,LGE,7.882531226,0.416267044,5.333949135,16.84127336,2.471707663,44.05020234
2020W28,2020,LGE,8.74016027,0.601583807,7.625795469,23.05669204,2.609150548,76.51895672
2020W31,2020,TGG,5.840963419,0.758371007,5.742503586,16.38741176,4.627765617,64.84414277
2020W37,2020,TGG,3.94692216,0.327773023,3.975429954,12.80491349,2.559744145,49.40167242
2020W43,2020,TGG,4.478181481,0.270800841,5.183806007,14.24647059,1.900827572,62.81512606
2020W46,2020,LGE,5.104396646,0.345039504,4.863359778,17.4952526,1.972189324,65.0574617
2020W52,2020,LGE,6.018746103,0.462818345,5.554093544,14.74031834,3.139812416,52.2928847
2020W58,2020,LGE,5.474008822,0.407194434,5.268844865,17.94070588,2.269667852,59.54037528
2020W61,2020,TGG,5.298757892,0.338220769,4.595918107,17.28,1.957296119,58.60805861
2020W67,2020,TGG,8.605861317,0.376898943,5.212358038,22.648609,1.664115193,52.9569047
2020W73,2020,TGG,5.007347702,0.75971386,2.956475469,18.0210519,4.215702079,45.59059882
2020W76,2020,LGE,4.400510773,0.678519727,2.826736446,17.98442907,3.772817719,49.56026529
2020W82,2020,LGE,6.218032664,0.177997848,2.964987507,24.80449827,0.717603098,60.75959796
2020W88,2020,LGE,3.657211336,0.299535233,3.600810534,14.43986159,2.0743636,56.41452411
