ID,Group,Time,AGB,BGB_0_30,SOC,Richness.B,Richness.F
sample1,EDG,2019,279.76,1145.543568,54.19872,2698,833
sample2,EDG,2019,252.52,2458.512067,62.7912,2526,1863
sample3,EDG,2019,351.2,1328.653754,68.73984,2688,1986
sample4,EDG,2019,282.68,1892.629663,73.36656,2635,1908
sample5,EDG,2019,237.92,3269.985701,68.73984,2460,2138
sample6,LGE,2019,217.72,2292.560336,36.13248,2699,1421
sample7,LGE,2019,303.08,1399.194073,41.42016,2677,1405
sample8,LGE,2019,222.56,1884.570389,39.6576,2635,1457
sample9,LGE,2019,240.28,1327.007236,32.05656,2655,1613
sample10,LGE,2019,229.48,1675.289224,42.30144,2624,1648
sample11,LGE,2019,245,1987.7811,36.57312,2584,2617
sample12,LGE,2019,205.64,1249.967503,33.048,1938,3188
sample13,LGE,2019,239.6,1498.765111,17.449344,2590,1366
sample14,LGE,2019,327.12,1316.261536,31.3956,2372,1226
sample15,LGE,2019,293,1354.99805,31.06512,2599,1343
sample16,LGE,2019,263.24,2636.162745,35.69184,2724,1582
sample17,LGE,2019,300.76,3392.434681,37.01376,2693,1340
sample18,LGE,2019,270.48,2546.210841,38.33568,2731,1472
sample19,LGE,2019,328.12,2298.799775,37.01376,2712,1525
sample20,LGE,2019,416.88,2306.339096,51.99552,2612,1408
sample21,NDG,2019,153.28,5082.282595,97.4916,2342,2257
sample22,NDG,2019,160.96,6708.5229,98.3178,2177,2195
sample23,NDG,2019,174.16,5595.303089,107.406,2336,2153
sample24,NDG,2019,163.6,4394.297847,56.84256,2273,2154
sample25,NDG,2019,140.8,7726.677932,85.9248,2146,2171
sample26,TGG,2019,228,2283.11452,40.53888,2714,1929
sample27,TGG,2019,207.4,2246.37116,39.6576,2396,1514
sample28,TGG,2019,245.48,2381.03904,39.21696,2324,1481
sample29,TGG,2019,278.92,2282.681225,35.69184,2646,1424
sample30,TGG,2019,240.52,2916.504181,48.91104,2328,1671
sample31,TGG,2019,389.64,966.0730534,29.08224,2351,1537
sample32,TGG,2019,210.68,1923.913514,34.36992,2380,975
sample33,TGG,2019,343.56,2655.314355,36.13248,2344,914
sample34,TGG,2019,368.32,1191.819403,32.60736,2314,1221
sample35,TGG,2019,194.32,1323.887517,31.72608,2256,1755
sample36,TGG,2019,259.12,2659.907275,62.7912,2840,2526
sample37,TGG,2019,293.88,2219.59357,40.09824,2420,2460
sample38,TGG,2019,188.12,2811.906928,39.6576,2905,2371
sample39,TGG,2019,344.28,2507.560986,36.57312,2879,2832
sample40,TGG,2019,275.44,2047.922354,45.38592,2822,2422
